shape_id,building_no,name,aliases,part_index,centroid_x,centroid_y,bbox_x0,bbox_y0,bbox_x1,bbox_y1,bbox_width,bbox_height,bbox_area,label_x,label_y,assignment_distance,assignment_quality,svg_path
building_part_057,62,西11号館,フォトニックイノベーション研究センター,2,136.769,276.474,130.291,273.659,143.247,279.29,12.956,5.631,72.955,136.767,272.693,0,high,"M 130.291,273.659 L 143.247,273.659 L 143.247,279.29 L 130.291,279.29 Z"
building_part_058,63,西2号館,,1,183.545,304.123,156.296,298.038,210.795,310.208,54.499,12.17,663.252,176.298,304.108,0,high,"M 156.296,298.038 L 210.795,298.038 L 210.795,310.208 L 156.296,310.208 Z"
building_part_059,64,西4号館,,1,140.54,304.123,129.655,298.038,151.425,310.208,21.77,12.17,264.941,135.168,304.636,0,high,"M 129.655,298.038 L 151.425,298.038 L 151.425,310.208 L 129.655,310.208 Z"
building_part_060,65,西1号館,,1,184.018,345.641,167.248,339.422,200.788,351.861,33.54,12.439,417.204,177.276,345.384,0,high,"M 167.248,339.422 L 200.788,339.422 L 200.788,351.861 L 167.248,351.861 Z"
building_part_061,66,西3号館,eラーニングセンター; i-パワードエネルギー・システム研究センター,1,143.515,346.858,127.896,339.422,159.134,354.294,31.238,14.872,464.572,134.976,345.491,0,high,"M 145.341,339.422 L 127.896,339.422 L 127.896,354.294 L 145.341,354.294 L 145.341,351.727 L 159.134,351.727 L 159.134,339.422 L 145.341,339.422 Z"
building_part_062,67,西8号館,,1,167.722,362.273,161.976,360.784,173.468,363.762,11.492,2.978,34.223,176.532,375.199,15.643,medium,"M 161.976,360.784 L 173.468,360.784 L 173.468,363.762 L 161.976,363.762 Z"
building_part_063,67,西8号館,,2,191.523,362.273,185.776,360.784,197.271,363.762,11.495,2.978,34.232,176.532,375.199,19.795,medium,"M 185.776,360.784 L 197.271,360.784 L 197.271,363.762 L 185.776,363.762 Z"
building_part_064,67,西8号館,,3,176.534,377.488,156.25,363.762,196.818,391.213,40.568,27.451,1113.632,176.532,375.199,0,high,"M 196.818,363.762 L 185.325,363.762 L 185.325,369.576 L 173.016,369.576 L 173.016,363.762 L 161.522,363.762 L 161.522,375.66 L 170.176,375.66 L 170.176,379.45 L 156.25,379.45 L 156.25,391.213 L 191.14,391.213 L 191.14,379.858 L 196.818,379.858 L 196.818,363.762 Z"
building_part_065,68,西9号館,,1,136.282,375.052,120.053,358.216,152.511,391.889,32.458,33.673,1092.958,135.252,375.199,0,high,"M 140.878,379.452 L 140.878,358.216 L 123.569,358.216 L 123.569,368.225 L 129.112,368.225 L 129.112,379.452 L 120.053,379.452 L 120.053,391.889 L 152.511,391.889 L 152.511,379.452 L 140.878,379.452 Z"
building_part_066,69,西門守衛所,,1,110.923,324.343,108.961,322.517,112.884,326.168,3.923,3.651,14.323,110.754,317.711,6.634,high,"M 108.961,322.517 L 112.884,322.517 L 112.884,326.168 L 108.961,326.168 Z"
building_part_067,70,アライアンスセンター,,1,153.312,432.798,131.821,424.863,174.803,440.732,42.982,15.869,682.082,137.411,432.952,0,high,"M 172.34,432.213 L 172.34,424.863 L 131.821,424.863 L 131.821,440.732 L 171.559,440.732 L 172.34,440.732 L 174.803,440.732 L 174.803,432.213 L 172.34,432.213 Z"
building_part_068,71,職員宿舎（UECポートロッジ）,,1,155.22,469.248,130.475,462.39,179.965,476.107,49.49,13.717,678.855,136.01,470.573,0,high,"M 176.587,466.39 L 176.603,462.39 L 166.966,462.39 L 166.95,466.326 L 139.319,466.249 L 139.319,463.721 L 133.771,463.721 L 133.771,466.249 L 130.475,466.249 L 130.475,476.054 L 179.89,476.107 L 179.965,466.278 L 176.587,466.39 Z"
building_part_069,72,ドーム絆（学生宿舎）,,1,192.512,450.17,186.629,430.482,198.396,469.857,11.767,39.375,463.326,193.046,450.166,0,high,"M 193.962,450.732 L 193.962,449.232 L 193.836,449.232 L 193.836,448.107 L 198.252,448.107 L 198.252,430.482 L 186.629,430.482 L 186.629,448.107 L 188.192,448.107 L 188.192,450.357 L 190.92,450.357 L 190.92,450.732 L 190.723,450.732 L 190.723,454.982 L 186.629,454.982 L 186.629,469.857 L 198.252,469.857 L 198.252,455.224 L 198.396,455.224 L 198.396,450.732 L 193.962,450.732 Z"
building_part_070,73,ドーム友達（学生宿舎）,,1,113.572,449.797,107.174,429.112,119.969,470.482,12.795,41.37,529.329,113.031,436.564,0,high,"M 115.84,460.621 L 115.823,457.445 L 119.969,457.445 L 119.969,429.112 L 107.174,429.112 L 107.174,457.473 L 107.174,459.939 L 107.174,460.802 L 107.174,464.008 L 107.174,470.482 L 119.969,470.482 L 119.969,464.079 L 111.888,464.063 L 111.982,460.65 L 115.84,460.621 Z"
building_part_071,75,番号のみ（PDF内の名称未記載）,,1,466.118,332.051,462.737,323.464,469.5,340.638,6.763,17.174,116.148,466.62,331.894,0,high,"M 462.737,323.464 L 469.5,323.464 L 469.5,340.638 L 462.737,340.638 Z"
