group,category,subject,source_urls
1年,学年別,数学演習第二,https://kyoumu.office.uec.ac.jp/timet/A1.pdf;https://kyoumu.office.uec.ac.jp/timet/English1.pdf;https://kyoumu.office.uec.ac.jp/timet/2gai1.pdf;https://kyoumu.office.uec.ac.jp/timet/A2.pdf;https://kyoumu.office.uec.ac.jp/timet/English2.pdf;https://kyoumu.office.uec.ac.jp/timet/2gai2.pdf;https://kyoumu.office.uec.ac.jp/timet/B1.pdf;https://kyoumu.office.uec.ac.jp/timet/B2.pdf
1年,学年別,物理学演習第一,https://kyoumu.office.uec.ac.jp/timet/A1.pdf;https://kyoumu.office.uec.ac.jp/timet/English1.pdf;https://kyoumu.office.uec.ac.jp/timet/2gai1.pdf;https://kyoumu.office.uec.ac.jp/timet/A2.pdf;https://kyoumu.office.uec.ac.jp/timet/English2.pdf;https://kyoumu.office.uec.ac.jp/timet/2gai2.pdf;https://kyoumu.office.uec.ac.jp/timet/B1.pdf;https://kyoumu.office.uec.ac.jp/timet/B2.pdf
1年,学年別,物理学演習第二,https://kyoumu.office.uec.ac.jp/timet/A1.pdf;https://kyoumu.office.uec.ac.jp/timet/English1.pdf;https://kyoumu.office.uec.ac.jp/timet/2gai1.pdf;https://kyoumu.office.uec.ac.jp/timet/A2.pdf;https://kyoumu.office.uec.ac.jp/timet/English2.pdf;https://kyoumu.office.uec.ac.jp/timet/2gai2.pdf;https://kyoumu.office.uec.ac.jp/timet/B1.pdf;https://kyoumu.office.uec.ac.jp/timet/B2.pdf
1年,学年別,Academic Spoken English Ⅰ,https://kyoumu.office.uec.ac.jp/timet/A1.pdf;https://kyoumu.office.uec.ac.jp/timet/English1.pdf;https://kyoumu.office.uec.ac.jp/timet/2gai1.pdf;https://kyoumu.office.uec.ac.jp/timet/A2.pdf;https://kyoumu.office.uec.ac.jp/timet/English2.pdf;https://kyoumu.office.uec.ac.jp/timet/2gai2.pdf;https://kyoumu.office.uec.ac.jp/timet/B1.pdf;https://kyoumu.office.uec.ac.jp/timet/B2.pdf
1年,学年別,Academic Written English Ⅰ,https://kyoumu.office.uec.ac.jp/timet/A1.pdf;https://kyoumu.office.uec.ac.jp/timet/English1.pdf;https://kyoumu.office.uec.ac.jp/timet/2gai1.pdf;https://kyoumu.office.uec.ac.jp/timet/A2.pdf;https://kyoumu.office.uec.ac.jp/timet/English2.pdf;https://kyoumu.office.uec.ac.jp/timet/2gai2.pdf;https://kyoumu.office.uec.ac.jp/timet/B1.pdf;https://kyoumu.office.uec.ac.jp/timet/B2.pdf
1年,学年別,Academic Spoken English Ⅱ,https://kyoumu.office.uec.ac.jp/timet/A1.pdf;https://kyoumu.office.uec.ac.jp/timet/English1.pdf;https://kyoumu.office.uec.ac.jp/timet/2gai1.pdf;https://kyoumu.office.uec.ac.jp/timet/A2.pdf;https://kyoumu.office.uec.ac.jp/timet/English2.pdf;https://kyoumu.office.uec.ac.jp/timet/2gai2.pdf;https://kyoumu.office.uec.ac.jp/timet/B1.pdf;https://kyoumu.office.uec.ac.jp/timet/B2.pdf
1年,学年別,Academic Written English Ⅱ,https://kyoumu.office.uec.ac.jp/timet/A1.pdf;https://kyoumu.office.uec.ac.jp/timet/English1.pdf;https://kyoumu.office.uec.ac.jp/timet/2gai1.pdf;https://kyoumu.office.uec.ac.jp/timet/A2.pdf;https://kyoumu.office.uec.ac.jp/timet/English2.pdf;https://kyoumu.office.uec.ac.jp/timet/2gai2.pdf;https://kyoumu.office.uec.ac.jp/timet/B1.pdf;https://kyoumu.office.uec.ac.jp/timet/B2.pdf
1年,学年別,選択独語第一,https://kyoumu.office.uec.ac.jp/timet/A1.pdf;https://kyoumu.office.uec.ac.jp/timet/English1.pdf;https://kyoumu.office.uec.ac.jp/timet/2gai1.pdf;https://kyoumu.office.uec.ac.jp/timet/A2.pdf;https://kyoumu.office.uec.ac.jp/timet/English2.pdf;https://kyoumu.office.uec.ac.jp/timet/2gai2.pdf;https://kyoumu.office.uec.ac.jp/timet/B1.pdf;https://kyoumu.office.uec.ac.jp/timet/B2.pdf
1年,学年別,選択仏語第一,https://kyoumu.office.uec.ac.jp/timet/A1.pdf;https://kyoumu.office.uec.ac.jp/timet/English1.pdf;https://kyoumu.office.uec.ac.jp/timet/2gai1.pdf;https://kyoumu.office.uec.ac.jp/timet/A2.pdf;https://kyoumu.office.uec.ac.jp/timet/English2.pdf;https://kyoumu.office.uec.ac.jp/timet/2gai2.pdf;https://kyoumu.office.uec.ac.jp/timet/B1.pdf;https://kyoumu.office.uec.ac.jp/timet/B2.pdf
1年,学年別,選択露語第一,https://kyoumu.office.uec.ac.jp/timet/A1.pdf;https://kyoumu.office.uec.ac.jp/timet/English1.pdf;https://kyoumu.office.uec.ac.jp/timet/2gai1.pdf;https://kyoumu.office.uec.ac.jp/timet/A2.pdf;https://kyoumu.office.uec.ac.jp/timet/English2.pdf;https://kyoumu.office.uec.ac.jp/timet/2gai2.pdf;https://kyoumu.office.uec.ac.jp/timet/B1.pdf;https://kyoumu.office.uec.ac.jp/timet/B2.pdf
1年,学年別,選択中国語第一,https://kyoumu.office.uec.ac.jp/timet/A1.pdf;https://kyoumu.office.uec.ac.jp/timet/English1.pdf;https://kyoumu.office.uec.ac.jp/timet/2gai1.pdf;https://kyoumu.office.uec.ac.jp/timet/A2.pdf;https://kyoumu.office.uec.ac.jp/timet/English2.pdf;https://kyoumu.office.uec.ac.jp/timet/2gai2.pdf;https://kyoumu.office.uec.ac.jp/timet/B1.pdf;https://kyoumu.office.uec.ac.jp/timet/B2.pdf
1年,学年別,選択韓国朝鮮語第一,https://kyoumu.office.uec.ac.jp/timet/A1.pdf;https://kyoumu.office.uec.ac.jp/timet/English1.pdf;https://kyoumu.office.uec.ac.jp/timet/2gai1.pdf;https://kyoumu.office.uec.ac.jp/timet/A2.pdf;https://kyoumu.office.uec.ac.jp/timet/English2.pdf;https://kyoumu.office.uec.ac.jp/timet/2gai2.pdf;https://kyoumu.office.uec.ac.jp/timet/B1.pdf;https://kyoumu.office.uec.ac.jp/timet/B2.pdf
1年,学年別,選択独語第二,https://kyoumu.office.uec.ac.jp/timet/A1.pdf;https://kyoumu.office.uec.ac.jp/timet/English1.pdf;https://kyoumu.office.uec.ac.jp/timet/2gai1.pdf;https://kyoumu.office.uec.ac.jp/timet/A2.pdf;https://kyoumu.office.uec.ac.jp/timet/English2.pdf;https://kyoumu.office.uec.ac.jp/timet/2gai2.pdf;https://kyoumu.office.uec.ac.jp/timet/B1.pdf;https://kyoumu.office.uec.ac.jp/timet/B2.pdf
1年,学年別,選択仏語第二,https://kyoumu.office.uec.ac.jp/timet/A1.pdf;https://kyoumu.office.uec.ac.jp/timet/English1.pdf;https://kyoumu.office.uec.ac.jp/timet/2gai1.pdf;https://kyoumu.office.uec.ac.jp/timet/A2.pdf;https://kyoumu.office.uec.ac.jp/timet/English2.pdf;https://kyoumu.office.uec.ac.jp/timet/2gai2.pdf;https://kyoumu.office.uec.ac.jp/timet/B1.pdf;https://kyoumu.office.uec.ac.jp/timet/B2.pdf
1年,学年別,選択露語第二,https://kyoumu.office.uec.ac.jp/timet/A1.pdf;https://kyoumu.office.uec.ac.jp/timet/English1.pdf;https://kyoumu.office.uec.ac.jp/timet/2gai1.pdf;https://kyoumu.office.uec.ac.jp/timet/A2.pdf;https://kyoumu.office.uec.ac.jp/timet/English2.pdf;https://kyoumu.office.uec.ac.jp/timet/2gai2.pdf;https://kyoumu.office.uec.ac.jp/timet/B1.pdf;https://kyoumu.office.uec.ac.jp/timet/B2.pdf
1年,学年別,選択中国語第二,https://kyoumu.office.uec.ac.jp/timet/A1.pdf;https://kyoumu.office.uec.ac.jp/timet/English1.pdf;https://kyoumu.office.uec.ac.jp/timet/2gai1.pdf;https://kyoumu.office.uec.ac.jp/timet/A2.pdf;https://kyoumu.office.uec.ac.jp/timet/English2.pdf;https://kyoumu.office.uec.ac.jp/timet/2gai2.pdf;https://kyoumu.office.uec.ac.jp/timet/B1.pdf;https://kyoumu.office.uec.ac.jp/timet/B2.pdf
1年,学年別,選択韓国朝鮮語第二,https://kyoumu.office.uec.ac.jp/timet/A1.pdf;https://kyoumu.office.uec.ac.jp/timet/English1.pdf;https://kyoumu.office.uec.ac.jp/timet/2gai1.pdf;https://kyoumu.office.uec.ac.jp/timet/A2.pdf;https://kyoumu.office.uec.ac.jp/timet/English2.pdf;https://kyoumu.office.uec.ac.jp/timet/2gai2.pdf;https://kyoumu.office.uec.ac.jp/timet/B1.pdf;https://kyoumu.office.uec.ac.jp/timet/B2.pdf
1年,学年別,独語第一,https://kyoumu.office.uec.ac.jp/timet/A1.pdf;https://kyoumu.office.uec.ac.jp/timet/English1.pdf;https://kyoumu.office.uec.ac.jp/timet/2gai1.pdf;https://kyoumu.office.uec.ac.jp/timet/A2.pdf;https://kyoumu.office.uec.ac.jp/timet/English2.pdf;https://kyoumu.office.uec.ac.jp/timet/2gai2.pdf;https://kyoumu.office.uec.ac.jp/timet/B1.pdf;https://kyoumu.office.uec.ac.jp/timet/B2.pdf
1年,学年別,仏語第一,https://kyoumu.office.uec.ac.jp/timet/A1.pdf;https://kyoumu.office.uec.ac.jp/timet/English1.pdf;https://kyoumu.office.uec.ac.jp/timet/2gai1.pdf;https://kyoumu.office.uec.ac.jp/timet/A2.pdf;https://kyoumu.office.uec.ac.jp/timet/English2.pdf;https://kyoumu.office.uec.ac.jp/timet/2gai2.pdf;https://kyoumu.office.uec.ac.jp/timet/B1.pdf;https://kyoumu.office.uec.ac.jp/timet/B2.pdf
1年,学年別,露語第一,https://kyoumu.office.uec.ac.jp/timet/A1.pdf;https://kyoumu.office.uec.ac.jp/timet/English1.pdf;https://kyoumu.office.uec.ac.jp/timet/2gai1.pdf;https://kyoumu.office.uec.ac.jp/timet/A2.pdf;https://kyoumu.office.uec.ac.jp/timet/English2.pdf;https://kyoumu.office.uec.ac.jp/timet/2gai2.pdf;https://kyoumu.office.uec.ac.jp/timet/B1.pdf;https://kyoumu.office.uec.ac.jp/timet/B2.pdf
1年,学年別,中国語第一,https://kyoumu.office.uec.ac.jp/timet/A1.pdf;https://kyoumu.office.uec.ac.jp/timet/English1.pdf;https://kyoumu.office.uec.ac.jp/timet/2gai1.pdf;https://kyoumu.office.uec.ac.jp/timet/A2.pdf;https://kyoumu.office.uec.ac.jp/timet/English2.pdf;https://kyoumu.office.uec.ac.jp/timet/2gai2.pdf;https://kyoumu.office.uec.ac.jp/timet/B1.pdf;https://kyoumu.office.uec.ac.jp/timet/B2.pdf
